X,Y,OBJECTID,incident_number,incident_type,incident_type_description,arrive_date_time,cleared_date_time,dispatch_date_time,exposure,platoon,station,address,address2,apt_room,GlobalID,CreationDate,Creator,EditDate,Editor
-8752673.5784,4282777.5256,474765,07-0031665,,NULL,2007/11/15 11:17:00+00,2007/11/15 11:25:00+00,2007/11/15 11:10:00+00,0, ,,"6647 LAKE HILL DR RALEIGH, NC 27601",,0,5c2e9c89-78d7-4348-bd95-23a69f4039aa,2021/06/02 14:03:34.248+00,justin.greco@raleighnc.gov_ral,2021/06/02 14:03:34.248+00,justin.greco@raleighnc.gov_ral
-8760136.1856,4272161.4479,474766,08-0017918,,NULL,2008/06/29 06:20:00+00,2008/06/29 06:42:00+00,2008/06/29 06:17:00+00,0, ,,"539 METHOD RD RALEIGH, NC 27606",,               ,b6bdde67-94b6-409d-a17d-55498242caf1,2021/06/02 14:03:34.248+00,justin.greco@raleighnc.gov_ral,2021/06/02 14:03:34.248+00,justin.greco@raleighnc.gov_ral
-8752805.2217,4274807.0168,474767,08-0032426,,NULL,2008/11/18 04:19:00+00,2008/11/18 04:24:00+00,2008/11/18 04:12:00+00,0, ,,"2100 RUARK CT RALEIGH, NC 27601",,202,46aba405-7f74-4e64-a9ef-2af357ab2cdd,2021/06/02 14:03:34.248+00,justin.greco@raleighnc.gov_ral,2021/06/02 14:03:34.248+00,justin.greco@raleighnc.gov_ral
-8749202.3076,4267814.2373,474768,07-0023051,444,Power line down,2007/08/21 22:52:00+00,2007/08/21 22:58:00+00,2007/08/21 22:47:00+00,0,A,12,"1216 BEVERLY DR RALEIGH, NC 27601",,               ,b58df98a-c21d-4a2e-a00d-b9b66087a822,2021/06/02 14:03:34.248+00,justin.greco@raleighnc.gov_ral,2021/06/02 14:03:34.248+00,justin.greco@raleighnc.gov_ral
-8742734.4788,4285719.0019,474769,13-0030918,150,Outside rubbish fire Other,2013/10/19 21:52:00+00,2013/10/19 21:59:00+00,2013/10/19 21:47:00+00,0,B,22,"8332 SHILOH CREEK CT RALEIGH, NC 27603",,               ,eb6f5e12-dec5-4f55-9746-d2867a13d9e6,2021/06/02 14:03:34.248+00,justin.greco@raleighnc.gov_ral,2021/06/02 14:03:34.248+00,justin.greco@raleighnc.gov_ral
-8755014.1946,4283872.8516,474770,14-0004846,510,Person in distress Other,2014/02/14 21:49:00+00,2014/02/14 21:51:00+00,2014/02/14 21:46:00+00,0,A,4,"7513 IDOLBROOK LN RALEIGH, NC 27615",,               ,8df5e743-2b41-4b22-9012-6e8cbe9327e2,2021/06/02 14:03:34.248+00,justin.greco@raleighnc.gov_ral,2021/06/02 14:03:34.248+00,justin.greco@raleighnc.gov_ral
-8753494.2387,4268386.9328,474771,12-0011779,440,Electrical  wiring/equipment problem Other,2012/04/29 05:17:00+00,2012/04/29 05:38:00+00,2012/04/29 05:16:00+00,0,A,1,"1205 S BLOODWORTH ST RALEIGH, NC 27601",,               ,907e5339-78fc-4873-90e2-94ae47f225e4,2021/06/02 14:03:34.248+00,justin.greco@raleighnc.gov_ral,2021/06/02 14:03:34.248+00,justin.greco@raleighnc.gov_ral
-8759886.0822,4284733.1241,474772,12-9010131,561,Unauthorized burning,2012/04/28 23:46:00+00,2012/04/28 23:52:00+00,2012/04/28 23:43:00+00,0,A,18,"7628 VALVIEW ST RALEIGH, NC 27601",,               ,d86875b1-1b90-47cb-94fa-23031de9f995,2021/06/02 14:03:34.248+00,justin.greco@raleighnc.gov_ral,2021/06/02 14:03:34.248+00,justin.greco@raleighnc.gov_ral
-8740423.4996,4283122.5959,474773,14-0002916,520,Water problem Other,2014/01/26 22:35:00+00,2014/01/26 22:38:00+00,2014/01/26 22:31:00+00,0,B,28,"4201 MANGROVE DR RALEIGH, NC 27603",,               ,507c4929-34a1-457f-80f2-3af654aea4fb,2021/06/02 14:03:34.248+00,justin.greco@raleighnc.gov_ral,2021/06/02 14:03:34.248+00,justin.greco@raleighnc.gov_ral
-8753687.0616,4269766.1499,474774,12-0005738,531,Smoke or odor removal,2012/02/28 00:58:00+00,2012/02/28 01:13:00+00,2012/02/28 00:56:00+00,0,C,1,"250 E DAVIE ST RALEIGH, NC 27601",,               ,ffe5877d-cb56-4faa-9f0b-b330773517b6,2021/06/02 14:03:34.248+00,justin.greco@raleighnc.gov_ral,2021/06/02 14:03:34.248+00,justin.greco@raleighnc.gov_ral
